Bucket Name,Filter ID,Status
aws-cloudtrail-logs-043309348661-b50263e2,CommonFilterID,Failed - An error occurred (MalformedXML) when calling the PutBucketMetricsConfiguration operation: The XML you provided was not well-formed or did not validate against our published schema
my-test-bucket-kartik,CommonFilterID,Failed - An error occurred (MalformedXML) when calling the PutBucketMetricsConfiguration operation: The XML you provided was not well-formed or did not validate against our published schema
